Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
1/12/2014,20:56:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",199 E. JEFFERSON ST.,39.06948167,-77.162145,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,NISSAN,SENTRA,GRAY,Citation,16-303(h),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0694816666667, -77.162145)"
2/14/2014,20:10:00,MCP,"1st district, Rockville",FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY,GATEWAY CENTER DR @ CLARKSBURG RD,39.23484343,-77.28153995,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CADI,STS,BLACK,Citation,21-311(1),Transportation Article,No,WHITE,M,POINT OF ROCK,MD,WV,A - Marked Patrol,"(39.2348434333333, -77.28153995)"
4/9/2014,22:22:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,MAHAN RD ON NEW HAMPSHIRE AVE,39.03408,-76.986785,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHEVROLET,IMPALA,WHITE,Citation,16-115(g),Transportation Article,No,BLACK,M,LANDOVER,MD,MD,A - Marked Patrol,"(39.03408, -76.986785)"
12/6/2012,12:34:00,MCP,Headquarters and Special Operations,PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,FLOWER AVE @ PINEY BRANCH,38.9984182,-77.00384695,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,N/A,Citation,21-503(c),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,O - Foot Patrol,"(38.9984182, -77.00384695)"
12/7/2012,18:36:00,MCP,"1st district, Rockville",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,RT 255/REDLAND ROAD,39.11545277,-77.16581598,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,TOYOTA,TACOMA,GREEN,Citation,21-902(a1),Transportation Article,Yes,WHITE,M,BALTIMORE,MD,MD,A - Marked Patrol,"(39.1154527666667, -77.1658159833333)"
9/22/2012,21:24:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,29 N/B AT FAIRLAND RD,39.00671673,-76.8914382,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2013,CADILLAC,CTS,SILVER,Citation,21-201(a1),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.0067167333333, -76.8914382)"
7/23/2013,23:15:00,MCP,"4th district, Wheaton",FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,108 / OLD BALTIMORE RD,39.15166592,-77.0706278,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,SATURN,LS,SILVER,Citation,13-411(a),Transportation Article,No,BLACK,F,BELTSVILLE,MD,MD,A - Marked Patrol,"(39.1516659166667, -77.0706278)"
10/28/2013,17:41:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY. FROM PRIVATE ROAD,EMORY GROVE RD @ MEADOW GREEN WAY,39.12993477,-77.16705013,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,HONDA,ACCORD,GOLD,Citation,21-404(b),Transportation Article,Yes,BLACK,M,GAITHERSBURG,MD,MD,A - Marked Patrol,"(39.1299347666667, -77.1670501333333)"
10/27/2012,19:13:00,MCP,"3rd district, Silver Spring",FAILURE TO STOP AT STOP SIGN,BROADBIRCH AND PLUM ORCHARD,39.05514887,-76.95553567,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,DODGE,CALIBER,ORANGE,Citation,21-707(a),Transportation Article,No,BLACK,M,OXON HILL,MD,MD,A - Marked Patrol,"(39.0551488666667, -76.9555356666667)"
2/11/2014,17:38:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,S/B NEW HAMPSHIRE AVE @ BRIGGS CHANEY,39.10937167,-76.99776833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HOND,TK,"BLUE, DARK",Citation,13-401(h),Transportation Article,No,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.1093716666667, -76.9977683333333)"
12/17/2015,13:15:00,MCP,"5th district, Germantown","FAILURE TO RETURN TO & REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED DAMAGE,PROPERTY",19916 CRYSTAL ROCK DR,39.22279333,-77.25369,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,TOYOTA,CAMRY,BLACK,Citation,20-103(b),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.2227933333333, -77.25369)"
3/20/2013,8:53:00,MCP,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,29/LOCKWOOD,39.03067667,-77.005105,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,ACUR,4S,GOLD,Citation,21-801.1,Transportation Article,No,OTHER,M,TAKOMA PARK,MD,MD,Q - Marked Laser,"(39.0306766666667, -77.005105)"
5/12/2015,8:26:00,MCP,"1st district, Rockville",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,WOOTTON PKWY @ PRESERVE PKWY,39.067535,-77.14941,No,No,No,No,No,No,No,No,No,No,VA,28 - Other,2002,FORD,ECONOLINE,WHITE,Citation,16-303(d),Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.067535, -77.14941)"
9/8/2012,7:47:00,MCP,"1st district, Rockville","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",CRABBS BRANCH @ REDLAND ROAD,39.12328285,-77.16089935,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,LEXUS,RX300,WHITE,Citation,16-303(h),Transportation Article,No,WHITE,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.12328285, -77.16089935)"
1/12/2013,8:53:00,MCP,"2nd district, Bethesda",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,355 X SOUTH DR,38.99927818,-77.09701007,No,No,No,No,No,Yes,No,Yes,No,No,MD,10 - Transit Bus,2012,GILL,HY,BLUE,Citation,21-402(a),Transportation Article,No,BLACK,F,FORESTVILLE,MD,MD,A - Marked Patrol,"(38.9992781833333, -77.0970100666667)"
10/15/2012,10:20:00,MCP,"3rd district, Silver Spring",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,UNIVERSITY BLVD/BUCKINGHAM DRIVE,39.0095341,-76.99946322,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,PONTIAC,GRAND PRIX,BLACK,Citation,16-116(a),Transportation Article,No,WHITE,F,COLLEGE PARK,MD,MD,A - Marked Patrol,"(39.0095341, -76.9994632166667)"
10/25/2015,11:17:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,RT. 29/ STEWART LN.,39.048205,-76.98472167,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,1991,LEXUS,4S,BLACK,Citation,16-115(g),Transportation Article,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,"(39.048205, -76.9847216666667)"
5/22/2013,14:04:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,12413 PUEBLO ROAD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,CADI,ESCALADE,BLACK,Citation,13-411(a),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,
2/6/2014,7:29:00,MCP,"2nd district, Bethesda",DRIVER CHANGING LANES WHEN UNSAFE,WILLARD AVE/NORTH PARK AVE,39.02881167,-77.196245,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2005,HONDA,PILOT,GRAY,Citation,21-309(b),Transportation Article,Yes,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol,"(39.0288116666667, -77.196245)"
5/27/2013,14:13:00,MCP,"6th district, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 80 MPH IN A POSTED 55 MPH ZONE,NB 270 / MUDDY BRANCH RD,39.09845263,-77.2045743,No,No,No,No,No,No,No,No,No,No,MD,08 - Recreational Vehicle,2012,JEEP,4X4,GRAY,Citation,21-801.1,Transportation Article,Yes,WHITE,F,NEW MARKET,MD,MD,A - Marked Patrol,"(39.0984526333333, -77.2045743)"
9/29/2013,21:43:00,MCP,"1st district, Rockville",FAILURE OF VEH. DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,11717 TRAILRIDGE DR,39.11318333,-77.235485,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,AUDI,S5,BLACK,Citation,20-105(a),Transportation Article,No,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.1131833333333, -77.235485)"
12/6/2012,13:07:00,MCP,"4th district, Wheaton",FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,"E/B RT 108 AT PRINCE PHILLIP DRIVE, OLNE",39.14921818,-77.05659182,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,TOYT,RAV 4,GREEN,Citation,16-116(a),Transportation Article,No,ASIAN,M,AMHERST,NY,NY,A - Marked Patrol,"(39.1492181833333, -77.0565918166667)"
5/10/2013,0:00:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,S/B I-270 @ MONTGOMERY VILLAGE AVE,39.14807848,-77.21670367,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,MERCEDES,SUV,BLACK,Citation,16-112(c),Transportation Article,No,BLACK,M,RESTON,VA,VA,A - Marked Patrol,"(39.1480784833333, -77.2167036666667)"
9/19/2013,14:12:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO YIELD RIGHT-OF-WAY AT INTERSECTION YIELD SIGN,COLESVILLE RD @ 16TH ST,38.9925,-77.03651333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BUICK,ENCLAVE,WHITE,Citation,21-403(d),Transportation Article,Yes,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,"(38.9925, -77.0365133333333)"
11/15/2012,9:50:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,SHADY FROVE RD & CRABBS BRANCH WAY,39.12860635,-77.16914518,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,MITSUBISHI,GALLANT,WHITE,Citation,13-411(d),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.12860635, -77.1691451833333)"
11/30/2013,22:55:00,MCP,"5th district, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,118 @ DAWSON FARM RD,39.17181833,-77.27779333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,ACURA,SUV,BLACK,Citation,13-409(b),Transportation Article,No,ASIAN,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1718183333333, -77.2777933333333)"
5/25/2012,10:39:00,MCP,"3rd district, Silver Spring",DRIVER FAILURE TO STOP AT STOP SIGN LINE,SB BROADBIRCH DR/ PLUM ORCHARD DR,39.05591057,-76.95796452,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,FORD,F150,"BLUE, DARK",Citation,21-707(a),Transportation Article,No,WHITE,M,GLEN ARM,MD,MD,A - Marked Patrol,"(39.0559105666667, -76.9579645166667)"
6/26/2013,20:15:00,MCP,"3rd district, Silver Spring",FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,10206 NEW HAMPSHIRE AVE,39.02225908,-76.9782608,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2000,HONDA,ACCORD,RED,Citation,21-801(b),Transportation Article,No,BLACK,M,SILVER SPRING,MD,XX,A - Marked Patrol,"(39.0222590833333, -76.9782608)"
1/8/2013,16:33:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,AIRPARK @ STRATOS,38.99648798,-77.10931803,No,No,Yes,No,No,No,No,No,No,No,MD,01 - Motorcycle,2012,KAWASAKI,NINJA,GREEN,Citation,16-101(a),Transportation Article,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,"(38.9964879833333, -77.1093180333333)"
12/8/2012,23:54:00,MCP,"1st district, Rockville",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,VEIRS MILL RD AT DODGE ST,39.08120427,-77.14360267,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2004,ACURA,MDX,BLACK,Citation,13-411(d),Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0812042666667, -77.1436026666667)"
8/7/2012,17:23:00,MCP,"2nd district, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,LEXINGTON ST/PERRY AVE,39.03205627,-77.07235937,No,No,No,No,No,No,No,No,No,No,PA,02 - Automobile,1998,TOYOTA,4RUNNER,GRAY,Citation,21-201(a1),Transportation Article,No,WHITE,F,HARRISBURG,PA,PA,A - Marked Patrol,"(39.0320562666667, -77.0723593666667)"
1/30/2013,20:51:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,WATKINS MILL RD / STEDWICK RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,CHEV,MALIBU,WHITE,Citation,16-101(a),Transportation Article,No,HISPANIC,M,RIVERDALE,MD,MD,A - Marked Patrol,
11/18/2012,22:03:00,MCP,"6th district, Gaithersburg / Montgomery Village",OPERATOR NOT RESTRAINED BY SEATBELT,RIO BLVD @ SAM EIG,39.11732218,-77.20565225,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1994,TOYOTA,CAMERY,WHITE,Citation,22-412.3(b),Transportation Article,No,ASIAN,M,BARBOURSVILLE,VA,VA,A - Marked Patrol,"(39.1173221833333, -77.20565225)"
11/8/2013,22:44:00,MCP,"6th district, Gaithersburg / Montgomery Village",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,WISTERIA/118,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,CHRY,SEBRING,SILVER,Citation,16-303(c),Transportation Article,No,BLACK,F,GAITHERSBURG,MD,MD,M - Marked (Off-Duty),
9/15/2012,21:56:00,MCP,"5th district, Germantown","DRIVING, MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",FREDERICK RD @ GERMANTOWN ROAD,39.19379768,-77.24335883,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998,TOYOTA,CAMRY,WHITE,Citation,16-101(a),Transportation Article,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1937976833333, -77.2433588333333)"
1/15/2014,9:16:00,MCP,"3rd district, Silver Spring",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,GREENCASTLE RD / ROBEY RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,MAZDA,3,SILVER,Citation,13-409(b),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,
7/31/2012,10:40:00,MCP,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,UNIVERSITY BLVD W/ORANGE DR,39.02987433,-77.02137848,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,KIA,4D,WHITE,Citation,21-801.1,Transportation Article,No,BLACK,F,WHEATON,MD,MD,A - Marked Patrol,"(39.0298743333333, -77.0213784833333)"
6/25/2013,20:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,MONTGOMERY VILLAGE AVE @ CLUB HOUSE RD,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,INFI,G35,SILVER,Citation,21-103(a),Transportation Article,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,
5/4/2012,10:58:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,AMHERST AVE/LAMBERTON DRIVE,39.04177055,-77.06977778,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,FORD,2S,BEIGE,Citation,21-801(b),Transportation Article,Yes,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.04177055, -77.0697777833333)"
2/9/2013,11:59:00,MCP,"4th district, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,REEDIE DR/FERN STREET,39.03959352,-77.04856972,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,FORD,EXPLORER,RED,Citation,21-201(a1),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0395935166667, -77.0485697166667)"
10/1/2013,6:51:00,MCP,"4th district, Wheaton",FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION,GEORGIA AVE/HEWITT AVE,,,No,No,Yes,No,No,No,No,No,No,No,XX,19 - Moped,2012,SUNNY,NINGBO,RED,Citation,21-801(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,
9/6/2012,9:37:00,MCP,"3rd district, Silver Spring",OPERATOR NOT RESTRAINED BY SEATBELT,FALLSGROVE BLVD @ FALLSGROVE RD,39.09677812,-77.19144122,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012,INFI,G37,SILVER,Citation,22-412.3(b),Transportation Article,No,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,"(39.0967781166667, -77.1914412166667)"
5/2/2014,22:43:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,FLOWER AVE @ DOMER AVE,38.99666667,-77.00316833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996,HOND,CIVIC,WHITE,Citation,22-226(a),Transportation Article,No,HISPANIC,M,HYATTSVILLE,MD,MD,B - Unmarked Patrol,"(38.9966666666667, -77.0031683333333)"
4/22/2013,17:03:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,MONTGOMERY VILLAGE @ WALKERS CHOICE,39.16554797,-77.20489015,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,TOYOTA,RAV 4,BLUE,Citation,16-101(a),Transportation Article,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,"(39.1655479666667, -77.20489015)"
1/18/2014,22:22:00,MCP,"4th district, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",GRANDVIEW AVE/RANDOLPH RD,,,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2005,FORD,EXPEDITION,BLACK,Citation,21-901.1(b),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,
10/13/2012,17:42:00,MCP,"3rd district, Silver Spring",POSSESSING SUSPENDED LIC.,12060 CHERRY HILL ROAD,39.05527902,-76.95533912,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,PONTIAC,GRAND AM,RED,Citation,16-301(j),Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0552790166667, -76.9553391166667)"
2/24/2015,8:22:00,MCP,"3rd district, Silver Spring",UNSAFE BACKING OF MOTOR VEH.,10009 RENFREW ROAD,39.01976833,-77.02402833,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2007,LINCOLN,MARK LT,CREAM,Citation,21-1102(a),Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0197683333333, -77.0240283333333)"
